용어명,물리명,도메인유형,도메인,데이터타입,코드명,정의,요청업무,최종요청자,최종수정일시
가맹점사업자등록번호,FRCS_BRNO,사업자등록번호,사업자등록번호C10,CHAR(10),,어떤 조직의 동맹이나 연맹에 든 상점을 구별하여 관리하려고 사업자등록을 할 때 국세청에서 매기는 번호,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가맹점상세주소,FRCS_DADDR,상세주소,상세주소V200,VARCHAR(200),,"어떤 조직의 동맹이나 연맹에 든 상점의 동(棟) 번호, 호(號)수 또는 층수가 나타난 주소",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가맹점수,FRCS_CNT,수,수N7,NUMBER(7),,어떤 조직의 동맹이나 연맹에 든 가게나 상점의 수,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가맹점수수료,FRCS_FEE,요금,요금N15,NUMBER(15),,"어떤 조직의 동맹이나 연맹에 든 가게나 상점에서 고객이 신용카드, 체크카드 등의 결제 수단으로 결제할 때 가맹점이 카드사 또는 결제 시스템 제공자에게 지급하는 요금",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가맹점수수료율,FRCS_CMRT,율,"율N5,2","NUMBER(5,2)",,"어떤 조직의 동맹이나 연맹에 든 가게나 상점에서 고객이 신용카드, 체크카드 등의 결제 수단으로 결제할 때 가맹점이 카드사 또는 결제 시스템 제공자에게 지급하는 요금을 백분율로 산정한 것",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가맹점업종명,FRCS_TPBIZ_NM,명,명V100,VARCHAR(100),,어떤 조직의 동맹이나 연맹에 든 가게나 상점의 영업 종류 이름,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가맹점우편번호,FRCS_ZIP,우편번호,우편번호C5,CHAR(5),,어떤 조직의 동맹이나 연맹에 든 상점의 소재지 우편번호,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가맹점전화번호,FRCS_TELNO,전화번호,전화번호V11,VARCHAR(11),,어떤 조직의 동맹이나 연맹에 든 상점의 전화번호,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가맹점주소,FRCS_ADDR,주소,주소V200,VARCHAR(200),,어떤 조직의 동맹이나 연맹에 든 상점의 주소,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가분할면적,DVSB_AREA,면적,"면적N19,9","NUMBER(19,9)",,해당 부지나 구역 등에서 실제로 분할이 허용된 공간의 넓이,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가산금리,ADTN_IRT,율,"율N5,2","NUMBER(5,2)",,금융 기관에서 기준금리에 신용도 등의 조건에 따라 덧붙이는 금리,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가산금액,ADTN_AMT,금액,금액N15,NUMBER(15),,"세금이나 공공요금 등을 납부 기한까지 내지 않은 경우, 원래 금액에 일정한 비율로 덧붙여 매기는 돈의 액수",공공데이터 공통표준용어 2차(2020-12),행정안전부,2020-12-01 00:00:00
가산비율,ADTN_RT,율,"율N5,2","NUMBER(5,2)",,"금융 기관에서 대출, 채권 따위의 금리를 결정할 때 기준 금리에 덧붙이는 금리를 백분율로 산정한 것",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가산세,ADDTX,금액,금액N18,NUMBER(18),,규정한 세금을 납부하지 않았을 때 본래 부과된 금액에 일정 비율로 금액을 부과하는 세금,공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
가산월수,ADTN_MM_CNT,수,수N10,NUMBER(10),,어떠한 일의 기준을 넘어서 추가된 개월의 수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가산일수,ADTN_DAY_CNT,수,수N7,NUMBER(7),,어떠한 일의 기준을 넘어서 추가된 날의 수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가산점수,ADTN_SCR,수,수N7,NUMBER(7),,어떠한 일의 기준을 넘어서 추가된 것을 성적으로 나타내는 점수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가산점여부,ADSC_YN,여부,여부C1,CHAR(1),,어떠한 일의 기준을 넘어서 추가된 것을 성적으로 나타내는 점수인지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가산차수,ADTN_CYCL,수,수N7,NUMBER(7),,어떠한 일의 기준을 넘어서 추가된 주기나 경과의 시기를 나타낸 수,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가상계좌번호,VR_ACTNO,계좌번호,계좌번호V20,VARCHAR(20),,상품을 구입한 고객이 대금을 입금하도록 임시로 계좌에 부여하는 식별 번호,공공데이터 공통표준용어 2차(2020-12),행정안전부,2020-12-01 00:00:00
가상계좌여부,VR_BACNT_YN,여부,여부C1,CHAR(1),,상품을 구입한 고객이 대금을 입금하도록 임시로 부여한 계좌인지 여부,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가상계좌은행명,VR_BACNT_BANK_NM,명,명V100,VARCHAR(100),,상품을 구입한 고객이 대금을 입금하도록 임시로 계좌를 부여한 금융기관의 이름,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가상계좌일련번호,VR_BACNT_SN,일련번호,일련번호N22,NUMBER(22),,상품을 구입한 고객이 대금을 입금하도록 임시로 부여한 계좌에 일정한 방식으로 연속되게 매긴 번호,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가상식별번호,VR_IDNTF_NO,번호,번호V64,VARCHAR(64),,고유 식별 번호와 같은 정보를 직접 제공하지 않고도 식별 기능을 수행할 수 있도록 임의로 생성된 번호,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가속도,ACL,수,"수N20,9","NUMBER(20,9)",,일의 진행에 따라 점점 더해지는 속도 또는 그렇게 변하는 속도,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가수금,SPRCP,금액,금액N15,NUMBER(15),,부기(簿記)에서 처리할 계정이 미정(未定)인 상태로 우선 받아 두는 돈,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가수금잔액,SPRCP_BLNC,금액,금액N15,NUMBER(15),,부기에서 처리할 계정이 미정인 상태로 우선 받아 두는 돈에서 아직 정산·처리되지 않고 남아 있는 돈의 액수,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가수금전표번호,SPRCP_SLIP_NO,번호,번호V10,VARCHAR(10),,부기에서 처리할 계정이 미정인 상태로 우선 받아 두는 돈을 거래 장부에 기록할 때 간단히 적은 쪽지에 부여하는 식별 번호,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가수금처리여부,SPRCP_PRCS_YN,여부,여부C1,CHAR(1),,부기에서 처리할 계정이 미정인 상태로 우선 받아 두는 돈을 회계상의 업무를 마무리했는지 여부,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가스사용량,GAS_USQTY,수,"수N10,3","NUMBER(10,3)",,가스를 쓰는 양,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가스사용료,GAS_USFE,요금,요금N15,NUMBER(15),,가스를 사용한 대가로 사용자가 사업자에게 지급하는 요금,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가압류결정일자,PRAT_DCSN_YMD,연월일,연월일C8,CHAR(8),,민사 소송법에서 법원이 채권자를 위하여 나중에 강제 집행을 할 목적으로 채무자의 재산을 임시로 확보하는 일을 분명하게 정한 날짜,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가압류금액,PRAT_AMT,금액,금액N15,NUMBER(15),,민사 소송법에서 법원이 채권자를 위하여 나중에 강제 집행을 할 목적으로 임시로 확보한 채무자 재산의 금액,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가압류여부,PRAT_YN,여부,여부C1,CHAR(1),,민사 소송법에서 법원이 채권자를 위하여 나중에 강제 집행을 할 목적으로 채무자의 재산을 임시로 확보했는지 여부,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가압류일련번호,PRAT_SN,일련번호,일련번호N22,NUMBER(22),,민사 소송법에서 법원이 채권자를 위하여 나중에 강제 집행을 할 목적으로 채무자의 재산을 임시로 확보하는 일에 일정한 방식으로 연속되게 매긴 번호,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가용금액,AVL_AMT,금액,금액N15,NUMBER(15),,현실적으로 지출이 가능한 돈의 액수,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가용여부,AVL_YN,여부,여부C1,CHAR(1),,현실적으로 사용이 가능한지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가입건수,JOIN_NOCS,수,수N10,NUMBER(10),,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등에 들어간 건수",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가입금액,JOIN_AMT,금액,금액N15,NUMBER(15),,어떤 서비스를 제공하는 상품 등에 들어갈 때 그 대상이 되는 한도가 정해진 돈의 액수,공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가입번호,JOIN_NO,번호,번호V50,VARCHAR(50),,조직이나 단체 따위에 들어가거나 서비스를 제공하는 상품 등을 신청할 때 부여하는 식별 번호,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가입비,MBSFE,비용,비용N15,NUMBER(15),,조직이나 단체 따위에 들어가거나 서비스를 제공하는 상품 따위를 신청하기 데 들어가는 비용,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가입사유,JOIN_RSN,내용,내용V4000,VARCHAR(4000),,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등에 들어간 이유",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가입승인시각,JOIN_APRV_TM,시분초,시분초C6,CHAR(6),,조직이나 단체 따위에 들어가거나 서비스를 제공하는 상품 등의 신청을 받은 조직에서 승인한 어느 한 시점,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가입승인여부,JOIN_APRV_YN,여부,여부C1,CHAR(1),,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등에 들어가는 일을 승인했는지 여부",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가입승인연도,JOIN_APRV_YR,연도,연도C4,CHAR(4),,조직이나 단체 따위에 들어가거나 서비스를 제공하는 상품 등의 신청을 받은 조직에서 승인한 연도,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가입승인연월,JOIN_APRV_YM,연월,연월C6,CHAR(6),,조직이나 단체 따위에 들어가거나 서비스를 제공하는 상품 등의 신청을 받은 조직에서 승인한 연도와 월,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가입승인일시,JOIN_APRV_DT,연월일시분초,연월일시분초D,DATE,,조직이나 단체 따위에 들어가거나 서비스를 제공하는 상품 등의 신청을 받은 조직에서 승인한 날짜와 시각,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가입승인일자,JOIN_APRV_YMD,연월일,연월일C8,CHAR(8),,조직이나 단체 따위에 들어가거나 서비스를 제공하는 상품 등의 신청을 받은 조직에서 승인한 날짜,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가입시각,JOIN_TM,시분초,시분초C6,CHAR(6),,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등에 들어간 어느 한 시점",공공데이터 공통표준용어 5차(2022-07),행정안전부,2022-07-01 00:00:00
가입시작일자,JOIN_BGNG_YMD,연월일,연월일C8,CHAR(8),,조직이나 단체 등에 들어가거나 서비스를 제공하는 상품 등을 신청을 시작한 날짜,공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가입신청일시,JOIN_APLY_DT,연월일시분초,연월일시분초D,DATE,,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등을 신청한 날짜와 시각",공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가입신청일자,JOIN_APLY_YMD,연월일,연월일C8,CHAR(8),,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등을 신청한 날짜",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가입여부,JOIN_YN,여부,여부C1,CHAR(1),,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등에 들어갔는지 여부",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가입일시,JOIN_DT,연월일시분초,연월일시분초D,DATE,,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등에 들어간 날짜와 시각",공공데이터 공통표준용어 3차(2021-10),행정안전부,2021-10-01 00:00:00
가입일자,JOIN_YMD,연월일,연월일C8,CHAR(8),,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등에 들어간 날짜",공공데이터 공통표준용어 1차(2020-08),행정안전부,2020-08-01 00:00:00
가입자명,SBSR_NM,명,명V100,VARCHAR(100),,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등을 신청한 사람의 이름",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가입자수,SBSR_CNT,수,수N10,NUMBER(10),,"조직이나 단체 따위에 들어가거나, 서비스를 제공하는 상품 등을 신청한 사람의 수",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
가족관계명,FAM_REL_NM,명,명V300,VARCHAR(300),,주로 부부를 중심으로 친족 관계에 있는 사람들의 집단과 관련된 정보를 나타내는 이름,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가족관계코드,FAM_REL_CD,코드,코드C3,CHAR(3),가족관계,"주로 부부를 중심으로 친족 관계에 있는 사람들의 집단 또는 그 구성원, 즉 혼인, 혈연, 입양 등 사람들의 집단과 관련된 정보를 나타내기 위한 기호 체계",공공데이터 공통표준용어 2차(2020-12),인사혁신처,2020-12-01 00:00:00
가족동거여부,FAM_CHBTN_YN,여부,여부C1,CHAR(1),,주로 부부를 중심으로 친족 관계에 있는 사람들의 집단이 한집에서 같이 살고 있는지 여부,공공데이터 공통표준용어 7차(2024-11),행정안전부,2024-11-01 00:00:00
가족력여부,FMHST_YN,여부,여부C1,CHAR(1),,"환자의 가족이나 가까운 친척, 같이 사는 사람들의 의학적 내력이 있는지 여부",공공데이터 공통표준용어 8차(2025-11),행정안전부,2025-11-01 00:00:00
가족명,FAM_NM,명,명V100,VARCHAR(100),,"혈연, 결혼, 입양 등으로 만들어지는 공동체의 구성원 이름",공공데이터 공통표준용어 6차(2023-11),행정안전부,2023-11-01 00:00:00
